Title,Category,Language,Site,Level,Price,Rating,Duration,Skills,Number of viewers,Instructors,Program Type
Business Analytics Specialization,Data Science,English,Coursera,Intermediate,855,4.6,6,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ",15725,"Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",Free Course
Excel Skills for Business Specialization,Business,English,Coursera,Intermediate,855,4.9,6,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ",42571,"Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",Free Course
Learn SQL Basics for Data Science Specialization,Data Science,English,Coursera,Intermediate,855,4.5,4,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ",8649,"Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",Free Course
The Materiality of ESG Factors Specialization,Business,English,Coursera,Intermediate,855,4.7,4,"ESG, Investment, Climate Change, Finance, social activism, ",643,"Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",Free Course
AI For Business Specialization,Business,English,Coursera,Intermediate,855,4.7,4,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ",169,"Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",Free Course
Digital Product Management Specialization,Computer Science,English,Coursera,Intermediate,855,4.8,5,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",2681,"Alex Cowan ,",Free Course
Leading the Modern Day Business Specialization,Business,English,Coursera,Intermediate,855,4.7,4,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ",2699,"Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,",Free Course
Graphic Design Specialization,Arts and Humanities,English,Coursera,Intermediate,855,4.7,6,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ",15224,"Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",Free Course
Security Analyst Fundamentals Specialization,Information Technology,English,Coursera,Intermediate,855,4.8,4,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",749,"IBM Security Learning Services ,",Free Course
Improve Your English Communication Skills Specialization,Language Learning,English,Coursera,Intermediate,855,4.8,5,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",15297,"Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",Free Course
Entrepreneurship Specialization,Business,English,Coursera,Intermediate,855,4.8,6,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ",4764,"Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",Free Course
Foundations of Positive Psychology  Specialization,Business,English,Coursera,Intermediate,855,4.8,5,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ",6479,"Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",Free Course
Data Science Specialization,Data Science,English,Coursera,Intermediate,855,4.5,11,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",38510,"Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",Free Course
Supply Chain Management Specialization,Business,English,Coursera,Intermediate,855,4.8,6,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ",11037,"Rudolf Leuschner, Ph.D. ,",Free Course
Fintech: Foundations & Applications of Financial Technology Specialization,Business,English,Coursera,Intermediate,855,4.6,4,"Investment Management, Cryptocurrency, regulation, Blockchain, ",3316,"Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,",Free Course
Microsoft 365 Fundamentals Specialization,Business,English,Coursera,Intermediate,855,4.7,5,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ",1123," Microsoft ,",Free Course
Search Engine Optimization (SEO) Specialization,Business,English,Coursera,Intermediate,855,4.7,5,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",10289,"Rebekah May ,Eric Enge ,",Free Course
AI Product Management Specialization,Data Science,English,Coursera,Intermediate,855,4.7,4,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",165,"Jon Reifschneider ,",Free Course
Introduction to Programming with Python and Java Specialization,Computer Science,English,Coursera,Intermediate,855,4.4,4,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",960,"Brandon Krakowsky ,",Free Course
Construction Management Specialization,Business,English,Coursera,Intermediate,855,4.8,7,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",6900,"Ibrahim Odeh, Ph.D., MBA ,",Free Course
IBM Introduction to Machine Learning Specialization,Data Science,English,Coursera,Intermediate,855,4.7,6,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",251,"Joseph Santarcangelo ,Svitlana (Lana) Kramar ,Mark J Grover ,Miguel Maldonado ,Yan Luo ,Xintong Li ,",Free Course
Data Analysis and Presentation Skills: the PwC Approach Specialization,Business,English,Coursera,Intermediate,855,4.7,6,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",9541,"Alex Mannella ,",Free Course
AWS Fundamentals Specialization,Information Technology,English,Coursera,Intermediate,855,4.6,5,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",10966,"Morgan Willis ,Seph Robinson ,Rudy Chetty ,Hong Pham ,Alex G. ,Wes Gruver ,Bobbie Atristain ,Rick Hurst ,Adam Becker ,",Free Course
Data Science: Foundations using R Specialization,Data Science,English,Coursera,Intermediate,855,4.6,5,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",5839,"Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",Free Course
Python 3 Programming Specialization,Computer Science,English,Coursera,Intermediate,855,4.7,5,"Json, Computer Programming, Python Programming, Sorting, ",15871,"Paul Resnick ,Steve Oney ,Christopher Brooks ,",Free Course
